timestamp,id,num,d0,d1,d2,d3,d4,d5,d6,d7
0.945613583,350,8,15,13,43,83,88,00,00,4e
0.946529175,260,8,17,19,00,30,00,64,00,00
0.947399009,545,8,e4,12,00,89,9c,00,9d,00
0.948258579,4F0,8,80,00,00,00,00,c5,bc,14
0.949148512,220,8,ff,03,ec,03,9f,01,c7,0f
0.950134665,316,8,45,19,9c,0c,19,10,00,00
0.951148616,545,8,e4,12,00,88,9c,00,9d,00
0.952016739,1F1,8,00,00,00,00,00,00,00,00
0.952890422,350,8,15,13,63,83,88,00,00,6e
0.953899241,329,8,40,92,80,90,0a,20,00,14
0.955053887,545,8,e4,12,00,89,9c,00,9b,00
0.956028922,4F0,8,80,00,00,00,00,c5,bc,14
0.956936389,220,8,f9,03,ed,03,9f,01,c1,0f
0.957814775,428,8,05,00,00,80,65,08,02,00
0.958824022,59B,8,00,00,00,00,00,00,00,00
0.959731061,4B1,8,00,00,00,00,00,00,00,00
0.960613296,0A0,8,40,65,9c,0c,00,ad,00,00
0.961480564,545,8,e4,12,00,89,9a,00,98,00
0.962355102,220,8,ff,03,ec,03,9f,01,c1,0f
0.963230923,4F0,8,80,00,00,00,00,c5,bc,14
0.964105461,0A0,8,40,65,9c,0c,00,ad,00,00
0.96507964,440,8,ff,f0,00,00,ff,b8,0b,00
0.96596102,545,8,e4,12,00,88,97,00,98,00
0.966875757,4B1,8,00,00,00,00,00,00,00,00
0.967764407,0A1,8,80,80,80,80,64,5d,0b,00
0.968739014,545,8,e4,12,00,89,97,00,97,00
0.969647764,220,8,fc,03,f4,03,9f,01,c1,0f
0.970622371,428,8,05,00,00,80,65,08,02,00
0.97190916,2A0,8,00,00,6a,00,00,00,00,00
0.972849128,545,8,e4,12,00,89,96,00,94,00
0.973729653,153,8,00,80,10,ff,00,ff,00,00
0.97470255,430,8,00,00,00,00,00,00,00,00
0.975783213,329,8,84,92,80,90,0a,20,00,14
0.976840784,545,8,e4,12,00,88,96,00,94,00
0.977895789,220,8,ff,03,e7,03,9f,01,c1,0f
0.978828487,428,8,05,00,00,80,65,08,02,00
0.979764178,370,8,ff,20,00,00,ff,00,00,6c
0.980757602,545,8,e4,12,00,88,93,00,92,00
0.98164839,153,8,00,80,10,ff,00,ff,00,00
0.982567831,350,8,15,13,e3,83,88,00,00,ee
0.983447073,43F,8,00,40,60,ff,54,b4,0b,00
0.984316906,545,8,e4,12,00,89,93,00,92,00
0.985325725,220,8,f7,03,f2,03,a1,01,c7,0f
0.986329412,0A1,8,80,80,80,80,64,09,0a,00
0.987409648,545,8,e4,12,00,89,91,00,8e,00
