time,type,id,num,d0,d1,d2,d3,d4,d5,d6,d7
1.154711086,0,440,8,ff,f0,00,00,ff,78,0c,00
1.157500626,0,220,8,ff,03,f7,03,00,00,cd,0f
1.159049991,0,428,8,05,00,00,80,65,08,02,00
1.160538629,0,545,8,dc,13,00,8a,32,00,34,00
1.16167061,0,440,8,ff,00,00,00,ff,78,0c,00
1.162737589,0,5A1,8,54,47,48,39,47,41,98,17
1.163794305,0,0A1,8,80,80,80,80,63,fc,0a,00
1.164853158,0,43F,8,00,40,60,ff,4c,7c,0c,00
1.165906025,0,440,8,ff,50,00,00,ff,84,0c,00
1.16697728,0,1F1,8,00,00,00,00,00,00,00,00
1.168618161,0,2B0,5,d9,ff,00,07,21,20,00,14
1.169659909,0,153,8,00,80,10,ff,00,ff,00,00
1.170635799,0,350,8,27,13,53,7f,80,00,00,98
1.171608268,0,316,8,45,1a,94,0d,1a,17,00,00
1.172520011,0,545,8,dc,13,00,89,34,00,34,00
1.173430044,0,440,8,ff,f0,00,00,ff,70,0c,00
1.174340076,0,350,8,27,13,63,7f,80,00,00,a8
1.175259945,0,260,8,16,1a,00,30,00,60,00,00
1.176173398,0,440,8,ff,00,00,00,ff,7c,0c,00
1.177085569,0,350,8,27,13,73,7f,80,00,00,b8
1.178062314,0,316,8,45,1a,94,0d,1a,17,00,00
1.179005276,0,545,8,dc,13,00,89,33,00,33,00
1.179947382,0,440,8,ff,50,00,00,ff,84,0c,00
1.180897613,0,4F0,8,80,00,00,00,00,63,c6,14
1.181972717,0,18F,8,fe,4b,1a,00,00,56,00,00
1.182974266,0,545,8,dc,13,00,89,32,00,33,00
1.183914662,0,440,8,ff,a0,00,00,ff,7c,0c,00
1.185304514,0,220,8,fd,03,f7,03,00,00,c1,0f
1.186303925,0,329,8,0c,72,7f,90,49,20,00,14
1.187249024,0,440,8,ff,f0,00,00,ff,7c,0c,00
1.188190703,0,350,8,27,13,a3,7f,80,00,00,68
1.189131098,0,429,8,55,02,00,00,00,00,2d,03
1.190073632,0,4B1,8,00,00,00,00,00,00,00,00
1.191020442,0,440,8,ff,00,00,00,ff,84,0c,00
1.19195314,0,220,8,fd,03,e5,03,00,00,c1,0f
1.19299446,0,260,8,16,1a,00,30,00,61,00,00
1.193943408,0,440,8,ff,50,00,00,ff,88,0c,00
1.194886797,0,350,8,27,13,c3,7f,80,00,00,08
1.195957197,0,690,8,00,00,01,00,00,00,00,00
1.196909567,0,2B0,5,d9,ff,00,07,a9,00,c7,0f
1.197907694,0,440,8,ff,a0,00,00,ff,80,0c,00
1.198853222,0,350,8,27,13,d3,7f,80,00,00,18
1.199793617,0,0A1,8,80,80,80,80,63,5d,0b,00
