time,type,id,num,d0,d1,d2,d3,d4,d5,d6,d7
1.282497098,0,440,8,ff,f0,00,00,ff,2c,0c,00
1.283604703,0,220,8,fd,03,e9,03,00,00,c1,0f
1.284543388,0,260,8,16,19,00,30,00,62,00,00
1.285440164,0,220,8,fd,03,e9,03,00,00,c1,0f
1.286528525,0,350,8,1b,13,53,7f,81,00,00,a5
1.287550173,0,429,8,55,02,00,00,00,00,2d,03
1.28844481,0,329,8,84,7b,7f,90,09,20,00,14
1.289333888,0,43F,8,00,40,60,ff,4e,20,0c,00
1.290219972,0,220,8,fd,03,f7,03,00,00,c1,0f
1.291103063,0,0A1,8,80,80,80,80,63,bf,0b,00
1.291982305,0,2B0,5,d9,ff,00,07,ed,00,6a,00
1.293120273,0,440,8,ff,a0,00,00,ff,18,0c,00
1.294034582,0,429,8,55,02,00,00,00,00,2d,03
1.294930075,0,153,8,00,80,10,ff,00,ff,00,00
1.295821719,0,545,8,dc,13,00,89,69,00,6b,00
1.296710369,0,350,8,1b,13,83,7f,81,00,00,75
1.297596881,0,220,8,ff,03,e7,03,00,00,c7,0f
1.298487242,0,545,8,dc,13,00,89,6a,00,6b,00
1.299388293,0,153,8,00,80,10,ff,00,ff,00,00
1.300357769,0,429,8,55,02,00,00,00,00,2d,03
1.30128619,0,18F,8,fe,3a,19,00,00,54,00,00
1.302177406,0,1F1,8,00,00,00,00,00,00,00,00
1.303273893,0,350,8,1b,13,a3,7f,81,00,00,55
1.304307943,0,153,8,00,80,10,ff,00,ff,00,00
1.30520985,0,545,8,dc,13,00,8a,68,00,69,00
1.30610577,0,4F0,8,80,00,00,00,00,63,c6,14
1.306998269,0,429,8,55,02,00,00,00,00,2d,03
1.307889485,0,0A1,8,80,80,80,80,63,5d,0b,00
1.308793103,0,2B0,5,d9,ff,00,07,12,00,68,00
1.309683036,0,440,8,ff,f0,00,00,ff,2c,0c,00
1.310570831,0,350,8,1b,13,c3,7f,81,00,00,35
1.311458626,0,260,8,16,19,00,30,00,62,00,00
1.312349414,0,2B0,5,d9,ff,00,07,03,00,68,00
1.31323892,0,428,8,05,00,00,80,65,08,02,00
1.314127142,0,220,8,fd,03,f9,03,00,00,d4,0f
1.315032043,0,545,8,dc,13,00,8a,67,00,6c,00
1.315986123,0,370,8,ff,20,00,00,ff,00,00,e4
1.316911979,0,350,8,1b,13,e3,7f,81,00,00,15
1.317801484,0,18F,8,fe,3a,1a,00,00,54,00,00
1.318687568,0,2B0,5,d9,ff,00,07,65,00,6c,00
1.31957408,0,350,8,1b,13,f3,7f,81,00,00,05
1.320583327,0,220,8,ff,03,e2,03,00,00,c7,0f
1.321493787,0,545,8,dc,13,00,89,6b,00,6c,00
1.322380299,0,2B0,5,d9,ff,00,07,56,00,c7,0f
1.323265528,0,1F1,8,00,00,00,00,00,00,00,00
1.324196515,0,0A0,8,43,54,24,0d,00,ad,00,00
1.325083027,0,2B0,5,d9,ff,00,07,47,00,c1,0f
1.325973816,0,440,8,ff,00,00,00,ff,18,0c,00
1.326863321,0,4F0,8,80,00,00,00,00,63,c6,14
1.327752826,0,2A0,8,00,00,65,00,00,00,00,00
1.328636773,0,2B0,5,d9,ff,00,07,b8,00,68,00
1.329524995,0,430,8,00,00,00,00,00,00,00,00
1.330411507,0,1F1,8,00,00,00,00,00,00,00,00
1.331298019,0,545,8,dc,13,00,89,67,00,66,00
1.332202064,0,370,8,ff,20,00,00,ff,00,00,a8
1.333167691,0,5A2,4,09,00,00,00,47,41,98,17
1.33408927,0,18F,8,fe,3a,19,00,00,54,00,00
1.334980058,0,2B0,5,d9,ff,00,07,9a,00,66,00
1.335867853,0,350,8,1b,13,43,7f,81,00,00,b5
1.336877955,0,1F1,8,00,00,00,00,00,00,00,00
1.337830325,0,545,8,dc,13,00,8a,65,00,68,00
1.338727528,0,220,8,ff,03,f7,03,00,00,c1,0f
1.33969401,0,429,8,55,02,00,00,00,00,2d,03
1.340589502,0,316,8,45,19,26,0d,19,13,00,00
1.341483712,0,2B0,5,d9,ff,00,07,fc,00,6a,00
1.3423745,0,440,8,ff,50,00,00,ff,1c,0c,00
1.343266571,0,220,8,ff,03,e5,03,00,00,c1,0f
1.56390669,0,2A0,8,00,00,65,00,00,00,00,00
1.567264573,0,2B0,5,d9,ff,00,07,ed,00,6a,00
1.57055831,0,428,8,05,00,00,80,65,08,02,00
1.573793886,0,429,8,55,02,00,00,00,00,2d,03
1.575208969,0,153,8,00,80,10,ff,00,ff,00,00
1.576591551,0,370,8,ff,20,00,00,ff,00,00,6c
1.577833438,0,350,8,1b,13,83,7f,81,00,00,75
1.579023579,0,18F,8,fe,3a,19,00,00,54,00,00
1.580209871,0,2B0,5,d9,ff,00,07,cf,00,68,00
1.581329451,0,350,8,1b,13,93,7f,81,00,00,65
1.58238916,0,429,8,55,02,00,00,00,00,2d,03
1.583279093,0,545,8,dc,13,00,89,67,00,68,00
1.584169026,0,220,8,fc,03,e9,03,00,00,c1,0f
1.585056393,0,350,8,1b,13,a3,7f,81,00,00,55
1.585945471,0,0A0,8,43,54,24,0d,00,ad,00,00
1.586917512,0,1F1,8,00,00,00,00,00,00,00,00
1.587862184,0,440,8,ff,a0,00,00,ff,20,0c,00
1.588783763,0,4F0,8,80,00,00,00,00,63,c6,14
1.589689519,0,2A0,8,00,00,65,00,00,00,00,00
1.59057988,0,2B0,5,d9,ff,00,07,12,00,6a,00
1.591468103,0,350,8,1b,13,c3,7f,81,00,00,35
1.592353759,0,316,8,45,19,26,0d,19,13,00,00
1.593243692,0,430,8,00,00,00,00,00,00,00,00
1.594160995,0,43F,8,00,40,60,ff,4e,20,0c,00
1.595134747,0,429,8,55,02,00,00,00,00,2d,03
1.596030239,0,0A1,8,80,80,80,80,63,e0,0b,00
1.596921455,0,2B0,5,d9,ff,00,07,74,00,69,00
1.597810533,0,350,8,1b,13,e3,7f,81,00,00,15
1.598703032,0,316,8,45,19,2c,0d,19,13,00,00
1.599592965,0,545,8,dc,13,00,89,68,00,67,00
1.600485037,0,4F0,8,80,00,00,00,00,63,c6,14
1.601374114,0,429,8,55,02,00,00,00,00,2d,03
1.60226362,0,316,8,45,19,2c,0d,19,13,00,00
1.603439649,0,545,8,dc,13,00,8a,68,00,67,00
1.604430934,0,440,8,ff,f0,00,00,ff,2c,0c,00
1.60540041,0,220,8,ff,03,f7,03,00,00,c1,0f
1.606297185,0,2A0,8,00,00,65,00,00,00,00,00
1.607191395,0,430,8,00,00,00,00,00,00,00,00
1.608084321,0,350,8,1b,13,13,7f,81,00,00,e5
1.608976393,0,429,8,55,02,00,00,00,00,2d,03
1.609868036,0,545,8,dc,13,00,89,66,00,67,00
1.610760108,0,43F,8,00,40,60,ff,4e,18,0c,00
1.611651324,0,220,8,ff,03,f7,03,00,00,c1,0f
1.61253698,0,0A1,8,80,80,80,80,63,b9,0c,00
1.613426913,0,2B0,5,d9,ff,00,07,a9,00,69,00
1.614315564,0,4B1,8,00,00,00,00,00,00,00,00
1.615219181,0,429,8,55,02,00,00,00,00,2d,03
1.616171551,0,220,8,fa,03,ef,03,00,00,c1,0f
1.617090992,0,2B0,5,d9,ff,00,07,9a,00,69,00
1.617982208,0,350,8,1b,13,43,7f,81,00,00,b5
1.61887043,0,316,8,45,19,26,0d,19,13,00,00
1.620031491,0,545,8,dc,13,00,89,68,00,6a,00
1.620975308,0,153,8,00,80,10,ff,00,ff,00,00
1.621871656,0,4F0,8,80,00,00,00,00,63,c6,14
1.622761589,0,0A1,8,80,80,80,80,63,a1,0c,00
1.623650667,0,2B0,5,d9,ff,00,07,fc,00,c7,0f
1.624539745,0,350,8,1b,13,63,7f,81,00,00,95
1.625428395,0,153,8,00,80,10,ff,00,ff,00,00
1.626316617,0,545,8,dc,13,00,8a,68,00,69,00
1.627202702,0,43F,8,00,40,60,ff,4e,20,0c,00
1.628089641,0,4B1,8,00,00,00,00,00,00,00,00
1.628978719,0,0A1,8,80,80,80,80,63,8b,0a,00
1.629868652,0,2B0,5,d9,ff,00,07,de,00,6a,00
1.630756447,0,440,8,ff,f0,00,00,ff,24,0c,00
1.631666052,0,350,8,1b,13,83,7f,81,00,00,75
1.63262954,0,2A0,8,00,00,65,00,00,00,00,00
1.633555823,0,4F0,8,80,00,00,00,00,63,c6,14
1.634445756,0,429,8,55,02,00,00,00,00,2d,03
1.635334407,0,1F1,8,00,00,00,00,00,00,00,00
1.636711429,0,545,8,dc,13,00,89,69,00,6d,00
1.637915255,0,440,8,ff,50,00,00,ff,20,0c,00
1.638912955,0,350,8,1b,13,a3,7f,81,00,00,55
1.639809731,0,18F,8,fe,3a,1a,00,00,54,00,00
1.640693677,0,2B0,5,d9,ff,00,07,21,00,6d,00
1.641588742,0,350,8,1b,13,b3,7f,81,00,00,45
1.64247953,0,4D0,8,00,ff,fa,00,00,00,00,00
1.643372457,0,545,8,dc,13,00,89,6c,00,6d,00
1.644264528,0,2B0,5,d9,ff,00,07,12,00,00,00
1.645152323,0,350,8,1b,13,c3,7f,81,00,00,35
1.646052947,0,2A0,8,00,00,65,00,00,00,00,00
1.646945019,0,2B0,5,d9,ff,00,07,03,00,c1,0f
1.647827682,0,440,8,ff,00,00,00,ff,1c,0c,00
1.648720608,0,429,8,55,02,00,00,00,00,2d,03
1.649635345,0,316,8,45,1a,24,0d,1a,13,00,00
1.650673244,0,2B0,5,d9,ff,00,07,74,00,6c,00
1.651668806,0,220,8,ff,03,f7,03,00,00,c7,0f
1.652564298,0,316,8,45,1a,24,0d,1a,13,00,00
1.653560288,0,545,8,dc,13,00,89,6b,00,6c,00
1.654534895,0,370,8,ff,20,00,00,ff,00,00,a8
1.655435947,0,429,8,55,02,00,00,00,00,2d,03
1.65633315,0,18F,8,fe,3a,1a,00,00,54,00,00
1.657220517,0,2B0,5,d9,ff,00,07,56,00,6c,00
1.658126273,0,350,8,1b,13,03,7f,81,00,00,f5
1.659010647,0,220,8,ff,03,f4,03,00,00,cd,0f
1.659904429,0,545,8,dc,13,00,89,6b,00,6d,00
1.660800349,0,220,8,ff,03,f4,03,00,00,cd,0f
1.661693276,0,429,8,55,02,00,00,00,00,2d,03
1.66258663,0,316,8,45,1a,22,0d,1a,13,00,00
1.66348255,0,1F1,8,00,00,00,00,00,00,00,00
1.664375905,0,440,8,ff,50,00,00,ff,20,0c,00
1.665288075,0,220,8,fd,03,e7,03,00,00,d4,0f
1.666321698,0,329,8,ed,7b,7f,90,09,20,00,14
1.667297588,0,4F0,8,80,00,00,00,00,63,c6,14
1.66819864,0,428,8,05,00,00,80,65,08,02,00
1.669086435,0,429,8,55,02,00,00,00,00,2d,03
1.670097819,0,220,8,ff,03,ea,03,00,00,cd,0f
1.671096802,0,370,8,ff,20,00,00,ff,00,00,6c
1.672001276,0,350,8,1b,13,43,7f,81,00,00,b5
1.67290361,0,260,8,16,19,00,30,00,62,00,00
1.673800386,0,2B0,5,d9,ff,00,07,8b,00,6c,00
1.674697589,0,153,8,00,80,10,ff,00,ff,00,00
1.675585384,0,429,8,55,02,00,00,00,00,2d,03
1.676483015,0,2A0,8,00,00,65,00,00,00,00,00
1.677377224,0,1F1,8,00,00,00,00,00,00,00,00
1.678275283,0,350,8,1b,13,63,7f,81,00,00,95
1.67917163,0,0A0,8,43,54,28,0d,00,ad,00,00
1.680069261,0,545,8,dc,13,00,89,6b,00,6a,00
1.681060974,0,440,8,ff,a0,00,00,ff,1c,0c,00
1.681974428,0,220,8,ff,03,f2,03,00,00,c1,0f
1.683220591,0,329,8,0c,7b,7f,90,09,20,00,14
1.684219146,0,2B0,5,d9,ff,00,07,de,00,6b,00
1.685180496,0,350,8,1b,13,83,7f,81,00,00,75
1.686081121,0,316,8,45,19,26,0d,19,13,00,00
1.687250307,0,545,8,dc,13,00,8a,6a,00,6b,00
1.907685583,0,370,8,ff,20,00,00,ff,00,00,20
1.911020801,0,429,8,55,02,00,00,00,00,2d,03
1.914370131,0,0A1,8,80,80,80,80,63,9c,0a,00
1.917278985,0,2B0,5,d9,ff,00,07,30,00,6c,00
1.918688082,0,440,8,ff,50,00,00,ff,28,0c,00
1.919784568,0,59B,8,00,00,00,00,00,00,00,00
1.921249259,0,545,8,dc,13,00,89,6b,00,6c,00
1.922520653,0,4F0,8,80,00,00,00,00,63,c6,14
1.923736453,0,429,8,55,02,00,00,00,00,2d,03
1.9249236,0,0A0,8,43,54,28,0d,00,ad,00,00
1.926050878,0,545,8,dc,13,00,8a,6b,00,6b,00
1.927176444,0,440,8,ff,f0,00,00,ff,14,0c,00
1.928140788,0,1F1,8,00,00,00,00,00,00,00,00
1.929105131,0,2A0,8,00,00,65,00,00,00,00,00
1.930067337,0,4F0,8,80,00,00,00,00,63,c6,14
1.931029542,0,350,8,1b,13,d3,7f,81,00,00,25
1.932001156,0,429,8,55,02,00,00,00,00,2d,03
1.932968493,0,545,8,dc,13,00,89,6a,00,6b,00
1.933929843,0,370,8,ff,20,00,00,ff,00,00,e4
1.934878792,0,430,8,00,00,00,00,00,00,00,00
1.935973568,0,0A1,8,80,80,80,80,63,82,0c,00
1.937122227,0,2B0,5,d9,ff,00,07,65,00,6d,00
1.938120355,0,440,8,ff,a0,00,00,ff,1c,0c,00
1.939097955,0,429,8,55,02,00,00,00,00,2d,03
1.940076411,0,220,8,ff,03,f5,03,00,00,c1,0f
1.941049736,0,2B0,5,d9,ff,00,07,56,00,6d,00
1.942022205,0,350,8,1b,13,03,7f,81,00,00,f5
1.942996812,0,316,8,45,1a,20,0d,1a,13,00,00
1.943969708,0,545,8,dc,13,00,89,6c,00,6e,00
1.944948164,0,220,8,fa,03,ec,03,00,00,c1,0f
1.945921916,0,429,8,55,02,00,00,00,00,2d,03
1.946893958,0,260,8,17,1a,00,30,00,62,00,00
1.947882677,0,2B0,5,d9,ff,00,07,b8,00,cd,0f
1.94885814,0,350,8,1b,13,23,7f,81,00,00,d5
1.949830609,0,153,8,00,80,10,ff,00,ff,00,00
1.950921963,0,1F1,8,00,00,00,00,00,00,00,00
1.951953875,0,43F,8,00,40,60,ff,4e,1c,0c,00
1.953010591,0,4F0,8,80,00,00,00,00,63,c6,14
1.954156257,0,0A1,8,80,80,80,80,63,14,0b,00
1.95520613,0,153,8,00,80,10,ff,00,ff,00,00
1.956255147,0,59B,8,00,00,00,00,00,00,00,c4
1.957308014,0,350,8,1b,13,43,7f,81,00,00,b5
1.958352327,0,2A0,8,00,00,65,00,00,00,00,00
1.959329928,0,4F0,8,80,00,00,00,00,63,c6,14
1.960454639,0,429,8,55,02,00,00,00,00,2d,03
1.961502802,0,220,8,ff,03,ef,03,00,00,c1,0f
1.962544122,0,545,8,dc,13,00,89,6b,00,6b,00
1.963599127,0,440,8,ff,50,00,00,ff,1c,0c,00
1.96465071,0,350,8,1b,13,63,7f,81,00,00,95
1.965698018,0,2A0,8,00,00,65,00,00,00,00,00
1.966747035,0,4F0,8,80,00,00,00,00,63,c6,14
1.967796481,0,350,8,1b,13,73,7f,81,00,00,85
1.968840367,0,220,8,fc,03,ec,03,00,00,c1,0f
1.970137847,0,545,8,dc,13,00,89,6a,00,6c,00
1.971209958,0,43F,8,00,40,60,ff,4e,18,0c,00
1.972128116,0,350,8,1b,13,83,7f,81,00,00,75
1.973025319,0,0A1,8,80,80,80,80,63,37,0c,00
1.973918245,0,4D0,8,00,ff,fa,00,00,00,00,00
1.974811172,0,440,8,ff,00,00,00,ff,24,0c,00
1.975709658,0,429,8,55,02,00,00,00,00,2d,03
1.976600874,0,329,8,0c,7b,7f,90,09,20,00,14
1.977495084,0,2B0,5,d9,ff,00,07,30,00,6a,00
1.9783863,0,220,8,ff,03,f2,03,00,00,c7,0f
1.979321563,0,316,8,45,19,28,0d,19,13,00,00
1.980215345,0,545,8,dc,13,00,8a,69,00,6a,00
1.981109127,0,440,8,ff,a0,00,00,ff,1c,0c,00
1.982008896,0,429,8,55,02,00,00,00,00,2d,03
1.983150286,0,18F,8,fe,3a,19,00,00,54,00,00
1.98423993,0,2B0,5,d9,ff,00,07,12,00,69,00
1.985288092,0,350,8,1b,13,c3,7f,81,00,00,35
1.986221645,0,220,8,ff,03,ec,03,00,00,c1,0f
1.987263393,0,545,8,dc,13,00,89,68,00,69,00
1.988188393,0,430,8,00,00,00,00,00,00,00,00
1.989084741,0,429,8,55,02,00,00,00,00,2d,03
1.989981089,0,0A0,8,43,54,28,0d,00,ad,00,00
1.990879147,0,545,8,dc,13,00,8a,68,00,6b,00
